Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount,,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Construction,Fusion,Altrad Babcock Limited,5163050,"101,434.93",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Construction,Fusion,Altrad Babcock Limited,5163052,"109,435.58",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Construction,Fusion,Altrad Babcock Limited,5163051,"149,983.09",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Construction,Fusion,Altrad Babcock Limited,5163053,"168,827.87",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Engineering Goods,Fusion,Altrad Babcock Limited,5162608,925.92,,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Engineering Goods,Fusion,Altrad Babcock Limited,5162607,"1,612.02",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Engineering Goods,Fusion,Altrad Babcock Limited,5163146,"4,461.35",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Construction,Support Services,Altrad Babcock Limited,5162837,760.56,,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Construction,Support Services,Altrad Babcock Limited,5162839,"1,312.40",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Construction,Support Services,Altrad Babcock Limited,5162838,"2,202.13",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Construction,Support Services,Altrad Babcock Limited,5163908,"25,026.59",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Construction,Property,Altrad Babcock Limited,5162989,"4,626.32",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Communications,Fusion,Amalgam Modelmaking Ltd,5161683,620.00,,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Facilities,Other,Amber Integrated Controls & Automation Ltd.,5162088,"16,937.50",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Construction,Property,Anixter UK Ltd,5163048,579.10,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Communications,Support Services,Antalis Limited,5164058,692.88,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Support Services,APC Technology Group plc,5163834,"1,239.08",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Professional Services,Other,Appleyard Lees IP LLP,5164165,539.00,,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Engineering Goods,Fusion,Applus UK Ltd,5162810,"2,056.32",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Research,Other,AQSORPTION LIMITED,5163836,"99,708.02",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Research,Other,AQSORPTION LIMITED,5163837,"149,562.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Fusion,Aqua Cooling Limited,5162072,792.00,,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Fusion,Aqua Cooling Limited,5161651,"1,142.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Fusion,Aqua Cooling Limited,5161695,"13,947.69",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Professional Services,Property,Arcadis Consulting (UK) Limited,5164169,"3,643.75",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Professional Services,Property,Arcadis Consulting (UK) Limited,5163194,"20,217.27",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Operational Goods,Fusion,Arco Ltd,5161853,629.06,,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Operational Goods,Fusion,Arco Ltd,5161782,660.00,,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Operational Goods,Fusion,Arco Ltd,5162538,687.60,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Operational Goods,Fusion,Arco Ltd,5164202,694.65,,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Operational Goods,Fusion,Arco Ltd,5163497,738.48,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Operational Goods,Fusion,Arco Ltd,5164061,915.60,,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Operational Goods,Fusion,Arco Ltd,5161961,961.92,,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Operational Goods,Fusion,Arco Ltd,5162877,961.92,,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Operational Goods,Fusion,Arco Ltd,5162096,"1,060.79",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Operational Goods,Fusion,Arco Ltd,5163499,"1,269.90",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Operational Goods,Fusion,Arco Ltd,5163198,"1,670.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Operational Goods,Fusion,Arco Ltd,5162004,"3,360.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Operational Goods,Fusion,Arco Ltd,5161997,"6,300.00",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Professional Services,Support Services,Arthur J Gallagher Insurance Brokers Limited,5162992,"2,362.51",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Facilities,Fusion,AS Scientific Products Ltd,5163800,770.00,,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Engineering Goods,Other,AS Scientific Products Ltd,5163726,"14,840.00",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Engineering Goods,Other,Ashton Jig & Tool Co. Ltd,5163342,"8,652.00",,,,,,,,,,,,
