Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Complete PCB Services Ltd,5154791,856.44
DESNZ,UKAEA,14/08/2023,Engineering Goods,Fusion,Complete PCB Services Ltd,5155748,"15,740.80"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Property,Doble Powertest Ltd,5154450,"5,190.00"
DESNZ,UKAEA,22/08/2023,Engineering Goods,Property,Edmundson Electricals Ltd,5156222,547.80
DESNZ,UKAEA,22/08/2023,Engineering Goods,Fusion,Edmundson Electricals Ltd,5156461,574.40
DESNZ,UKAEA,07/08/2023,Engineering Goods,Other,Edmundson Electricals Ltd,5154946,"2,276.98"
DESNZ,UKAEA,16/08/2023,Engineering Goods,Property,Edmundson Electricals Ltd,5156031,"3,175.58"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Edwards Limited,5154824,733.88
DESNZ,UKAEA,22/08/2023,Engineering Goods,Fusion,ESSCO Controls Ltd,5156319,"1,027.36"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5154557,597.33
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Flowstar UK Limited c/o Dutton Moore,5154584,596.06
DESNZ,UKAEA,16/08/2023,Engineering Goods,Fusion,FS.com Innovation Ltd,5155873,863.88
DESNZ,UKAEA,14/08/2023,Engineering Goods,Fusion,Goodfellow Cambridge Ltd,5155470,"8,900.00"
DESNZ,UKAEA,04/08/2023,Engineering Goods,Fusion,H L Hydraulik GmbH,5154651,"3,803.48"
DESNZ,UKAEA,09/08/2023,Engineering Goods,Fusion,Hamamatsu Photonics UK Ltd,5155385,"2,878.05"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Other,Hiden Analytical Ltd,5154456,"5,580.00"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,HPC Engineering Plc,5154575,"1,800.88"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,ICS Cool Energy Ltd,5154621,589.00
DESNZ,UKAEA,22/08/2023,Engineering Goods,Fusion,Ind-Tech Ltd,5156171,"1,232.24"
DESNZ,UKAEA,14/08/2023,Engineering Goods,Fusion,Island Optics Ltd,5155760,"4,240.00"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Island Optics Ltd,5154850,"7,050.00"
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,Island Optics Ltd,5156527,"7,050.00"
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,Island Optics Ltd,5156539,"7,050.00"
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,Island Optics Ltd,5156529,"14,100.00"
DESNZ,UKAEA,07/08/2023,Engineering Goods,Fusion,Jumo Instrument Co. Ltd.,5155129,"1,431.51"
DESNZ,UKAEA,14/08/2023,Engineering Goods,Fusion,KC Scientific Ltd,5155469,"4,815.72"
DESNZ,UKAEA,09/08/2023,Engineering Goods,Other,Kiartys Engineering Limited,5155199,703.56
DESNZ,UKAEA,09/08/2023,Engineering Goods,Other,Kiartys Engineering Limited,5155196,725.42
DESNZ,UKAEA,09/08/2023,Engineering Goods,Fusion,Kiartys Engineering Limited,5155205,977.30
DESNZ,UKAEA,09/08/2023,Engineering Goods,Fusion,Kiartys Engineering Limited,5155203,979.50
DESNZ,UKAEA,09/08/2023,Engineering Goods,Fusion,Kiartys Engineering Limited,5155201,"1,181.34"
DESNZ,UKAEA,09/08/2023,Engineering Goods,Fusion,Kiartys Engineering Limited,5155204,"1,385.22"
DESNZ,UKAEA,09/08/2023,Engineering Goods,Fusion,Kiartys Engineering Limited,5155206,"1,705.90"
DESNZ,UKAEA,09/08/2023,Engineering Goods,Other,Kiartys Engineering Limited,5155200,"2,448.15"
DESNZ,UKAEA,09/08/2023,Engineering Goods,Fusion,Kiartys Engineering Limited,5155202,"2,448.75"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Other,Kiartys Engineering Limited,5154503,"2,723.08"
DESNZ,UKAEA,22/08/2023,Engineering Goods,Fusion,Kurt J. Lesker Company Ltd,5156280,"1,439.75"
DESNZ,UKAEA,14/08/2023,Engineering Goods,Fusion,Kurt J. Lesker Company Ltd,5155691,"2,780.00"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Leybold UK Ltd,5154534,"1,151.64"
DESNZ,UKAEA,22/08/2023,Engineering Goods,Fusion,Leybold UK Ltd,5156500,"1,885.34"
DESNZ,UKAEA,14/08/2023,Engineering Goods,Other,Machine Building Systems Ltd.,5155856,818.00
DESNZ,UKAEA,09/08/2023,Engineering Goods,Fusion,Machining Techology (Mach-Tech) Ltd,5155241,"2,093.50"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Machining Techology (Mach-Tech) Ltd,5154933,"4,383.60"
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,Manufax Engineering Limited,5156742,"5,940.00"
DESNZ,UKAEA,22/08/2023,Engineering Goods,Fusion,Mirion Technologies (Canberra UK) Limited,5156474,"4,523.19"
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,Mirion Technologies (Canberra UK) Limited,5156542,"6,752.00"
DESNZ,UKAEA,22/08/2023,Engineering Goods,Fusion,Mirion Technologies (Canberra UK) Limited,5156375,"35,544.00"
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,Mouser Electronics,5156591,"1,456.26"
DESNZ,UKAEA,22/08/2023,Engineering Goods,Fusion,Mouser Electronics,5156454,"1,757.14"
DESNZ,UKAEA,14/08/2023,Engineering Goods,Fusion,Nederman Ltd,5155708,602.86
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Op-Tec Systems Ltd,5154919,"1,190.83"
DESNZ,UKAEA,07/08/2023,Engineering Goods,Fusion,Oxford Refrigeration and Air Conditioning Ltd,5154796,"8,213.00"
DESNZ,UKAEA,07/08/2023,Engineering Goods,Fusion,Pico Technology Ltd,5155052,939.00
DESNZ,UKAEA,22/08/2023,Engineering Goods,Fusion,Pulse Power and Measurement Ltd,5156218,"1,962.00"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Repair Maintenance and Overhaul Ltd,5154616,"15,531.11"
DESNZ,UKAEA,09/08/2023,Engineering Goods,Fusion,Rexel UK Ltd (Abingdon),5155307,"4,415.28"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,RS Components Ltd,5154572,559.28
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,RS Components Ltd,5154870,565.25
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,RS Components Ltd,5154792,681.98
DESNZ,UKAEA,03/08/2023,Engineering Goods,Other,RS Components Ltd,5154736,692.57
DESNZ,UKAEA,03/08/2023,Engineering Goods,Other,RS Components Ltd,5154896,697.40
DESNZ,UKAEA,09/08/2023,Engineering Goods,Other,RS Components Ltd,5155243,718.09
DESNZ,UKAEA,14/08/2023,Engineering Goods,Fusion,RS Components Ltd,5155729,803.00
DESNZ,UKAEA,14/08/2023,Engineering Goods,Fusion,RS Components Ltd,5155495,897.85
