Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169477,"3,221.24"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169113,"3,376.43"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168726,"3,382.62"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169008,"3,399.00"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169562,"3,450.59"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168932,"3,583.89"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169550,"3,591.00"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169649,"3,995.16"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169059,"4,098.69"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169163,"4,098.72"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168986,"4,232.25"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169206,"4,575.62"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169162,"4,604.85"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168754,"4,667.40"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169652,"4,709.40"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169754,"4,772.34"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169072,"5,362.89"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168982,"5,677.72"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169650,"5,895.20"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168955,"5,952.98"
DESNZ,UKAEA,21/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5170093,"6,035.40"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169093,"6,126.09"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168948,"6,373.37"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169424,"6,658.39"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169095,"7,129.08"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169097,"7,333.20"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168837,"7,511.66"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169341,"7,568.40"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169328,"7,580.64"
