Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,19/12/2023,Professional Services,Fusion,AtkinsRealis UK Ltd,5165909,"16,465.15"
DESNZ,UKAEA,05/12/2023,Facilities,Fusion,AtkinsRealis UK Ltd,5164883,"49,698.00"
DESNZ,UKAEA,11/12/2023,Facilities,Support Services,AtkinsRealis UK Ltd,5165358,"8,284.75"
DESNZ,UKAEA,11/12/2023,Professional Services,Other,AtkinsRealis UK Ltd,5165100,"12,106.06"
DESNZ,UKAEA,11/12/2023,Professional Services,Other,AtkinsRealis UK Ltd,5165100,"12,106.06"
DESNZ,UKAEA,05/12/2023,Facilities,Fusion,AtkinsRealis UK Ltd,5164259,"2,766.07"
DESNZ,UKAEA,11/12/2023,Facilities,Fusion,AtkinsRealis UK Ltd,5165441,"4,887.94"
DESNZ,UKAEA,19/12/2023,Consultancy - Other (per Cabinet Office definition),Fusion,AtkinsRealis UK Ltd,5165821,"5,027.56"
DESNZ,UKAEA,13/12/2023,Facilities,Fusion,AtkinsRealis UK Ltd,5165659,"5,052.05"
DESNZ,UKAEA,19/12/2023,Professional Services,Fusion,AtkinsRealis UK Ltd,5165820,"6,041.10"
DESNZ,UKAEA,13/12/2023,Facilities,Fusion,AtkinsRealis UK Ltd,5165660,"6,685.42"
DESNZ,UKAEA,13/12/2023,Facilities,Fusion,AtkinsRealis UK Ltd,5165720,"7,004.27"
DESNZ,UKAEA,11/12/2023,Facilities,Fusion,AtkinsRealis UK Ltd,5165435,"9,603.60"
DESNZ,UKAEA,13/12/2023,Facilities,Fusion,AtkinsRealis UK Ltd,5165542,"9,664.76"
DESNZ,UKAEA,11/12/2023,Engineering Goods,Fusion,Augean Plc,5165417,"2,236.75"
DESNZ,UKAEA,05/12/2023,Professional Services,Property,Avison Young (UK) Limited,5164260,"5,000.00"
DESNZ,UKAEA,19/12/2023,Professional Services,Property,Avison Young (UK) Limited,5166061,"5,000.00"
DESNZ,UKAEA,11/12/2023,Personnel Related,Fusion,Aylesbury mobility Limited - T/as Gerald Simonds Healthcare,5165305,"3,534.17"
DESNZ,UKAEA,11/12/2023,ICT,Fusion,Aztex Solutions Ltd,5165419,"9,416.26"
DESNZ,UKAEA,05/12/2023,Engineering Goods,Property,B & M Engineers Ltd,5164609,"1,950.00"
DESNZ,UKAEA,05/12/2023,Research,Fusion,Bangor University,5164285,"30,000.00"
DESNZ,UKAEA,11/12/2023,Facilities,Property,Barclays Eagle Labs Cumbria,5165101,"5,800.00"
DESNZ,UKAEA,01/12/2023,Professional Services,Fusion,Barker Brettell,5101929,"-1,510.51"
DESNZ,UKAEA,13/12/2023,Facilities,Fusion,Baxter Storey Ltd.,5165532,"1,893.58"
DESNZ,UKAEA,13/12/2023,Facilities,Property,Baxter Storey Ltd.,5165650,"1,707.07"
DESNZ,UKAEA,13/12/2023,Facilities,Property,Baxter Storey Ltd.,5165531,"15,359.60"
DESNZ,UKAEA,05/12/2023,Engineering Goods,Other,Beckhoff Automation Ltd,5164385,507.92
DESNZ,UKAEA,07/12/2023,Engineering Goods,Fusion,Beyond Gravity Austria GmbH,5164953,"2,306.43"
DESNZ,UKAEA,19/12/2023,Engineering Goods,Fusion,BG Counters Ltd,5165759,"6,754.11"
DESNZ,UKAEA,05/12/2023,Professional Services,Support Services,Board Intelligence Ltd,5164250,"5,300.00"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Fusion,BOC Ltd,5165236,"1,262.10"
DESNZ,UKAEA,06/12/2023,Engineering Goods,Fusion,BOC Ltd,5164564,675.70
DESNZ,UKAEA,06/12/2023,Engineering Goods,Fusion,BOC Ltd,5164755,717.45
DESNZ,UKAEA,19/12/2023,Engineering Goods,Fusion,BOC Ltd,5165739,"1,050.00"
DESNZ,UKAEA,06/12/2023,Engineering Goods,Fusion,BOC Ltd,5164318,"1,422.75"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Fusion,BOC Ltd,5165623,"1,991.85"
DESNZ,UKAEA,06/12/2023,Engineering Goods,Fusion,BOC Ltd,5164581,"133,209.74"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Other,BOC Ltd,5165319,621.45
DESNZ,UKAEA,13/12/2023,Facilities,Property,Bojen Electrical Ltd,5165597,"5,507.46"
DESNZ,UKAEA,13/12/2023,Facilities,Property,Bojen Electrical Ltd,5165663,"10,980.54"
DESNZ,UKAEA,05/12/2023,Engineering Goods,Fusion,Border Technology Ltd,5164356,"1,775.38"
DESNZ,UKAEA,05/12/2023,Engineering Goods,Fusion,Boxer Machine Tools Services,5164649,730.00
DESNZ,UKAEA,13/12/2023,Engineering Goods,Support Services,Boxer Machine Tools Services,5165479,865.00
DESNZ,UKAEA,05/12/2023,Engineering Goods,Other,Boxer Machine Tools Services,5164648,826.25
DESNZ,UKAEA,19/12/2023,Facilities,Fusion,British Engineering Services Ltd,5166038,811.80
DESNZ,UKAEA,19/12/2023,Facilities,Fusion,British Engineering Services Ltd,5166037,888.80
DESNZ,UKAEA,19/12/2023,Facilities,Fusion,British Engineering Services Ltd,5166032,"1,069.20"
DESNZ,UKAEA,05/12/2023,Engineering Goods,Fusion,British Salt,5164375,752.06
DESNZ,UKAEA,05/12/2023,Engineering Goods,Fusion,British Salt,5164375,"6,768.54"
DESNZ,UKAEA,05/12/2023,Professional Services,Property,BSP Consulting,5164594,750.00
DESNZ,UKAEA,11/12/2023,Professional Services,Property,BSP Consulting,5165112,"4,200.00"
DESNZ,UKAEA,11/12/2023,Professional Services,Property,BSP Consulting,5165113,"7,800.00"
DESNZ,UKAEA,19/12/2023,Personnel Related,Other,Bupa Occupational Health Ltd,5165817,-707.37
DESNZ,UKAEA,19/12/2023,Personnel Related,Other,Bupa Occupational Health Ltd,5165814,"2,592.77"
DESNZ,UKAEA,13/12/2023,Learning and Development,Other,Burge Hughes Walsh Limited,5165619,"2,041.40"
DESNZ,UKAEA,05/12/2023,Professional Services,Property,Burges Salmon,5164994,520.00
DESNZ,UKAEA,19/12/2023,Professional Services,Fusion,Burges Salmon,5165831,"1,474.00"
DESNZ,UKAEA,19/12/2023,Professional Services,Support Services,Burges Salmon,5165965,"3,000.00"
DESNZ,UKAEA,19/12/2023,Professional Services,Support Services,Burges Salmon,5165964,"3,346.70"
DESNZ,UKAEA,11/12/2023,Professional Services,Fusion,Burges Salmon,5165077,"2,277.00"
DESNZ,UKAEA,13/12/2023,Professional Services,Fusion,Burges Salmon,5165552,"2,962.00"
DESNZ,UKAEA,11/12/2023,Professional Services,Fusion,Burges Salmon,5165076,"45,344.00"
DESNZ,UKAEA,11/12/2023,Learning and Development,Fusion,Cabinet Office (Government Business Services),5165200,"6,100.00"
DESNZ,UKAEA,13/12/2023,Learning and Development,Support Services,Cabinet Office (Government Business Services),5165627,"7,700.00"
DESNZ,UKAEA,14/12/2023,Communications,Other,Canto GmbH,5165616,"17,873.50"
DESNZ,UKAEA,19/12/2023,Engineering Goods,Fusion,Capital Refractories Ltd.,5165866,825.00
DESNZ,UKAEA,05/12/2023,Professional Services,Property,Carter Jonas LLP,5164410,"7,409.00"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Fusion,Casella Holdings Limited,5165586,"1,179.90"
DESNZ,UKAEA,19/12/2023,Facilities,Fusion,Casella Holdings Limited,5165857,"1,923.82"
DESNZ,UKAEA,19/12/2023,Facilities,Fusion,CBRE Ltd,5166056,"46,875.00"
DESNZ,UKAEA,15/12/2023,Personnel Related,Support Services,CGI IT UK Limited,5161087,623.43
DESNZ,UKAEA,15/12/2023,Personnel Related,Support Services,CGI IT UK Limited,5161731,"8,035.04"
DESNZ,UKAEA,14/12/2023,Engineering Goods,Fusion,Chart Ferox A.S.,5165624,"2,306.61"
DESNZ,UKAEA,11/12/2023,Learning and Development,Fusion,Chartered Institution of Wastes Management,5165225,606.90
DESNZ,UKAEA,13/12/2023,Learning and Development,Property,CITB,5165708,"1,097.00"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Fusion,City Electrical Factors,5165703,565.55
DESNZ,UKAEA,19/12/2023,Engineering Goods,Fusion,City Electrical Factors,5166016,"2,034.66"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Fusion,City Electrical Factors,5165575,520.09
DESNZ,UKAEA,13/12/2023,Construction,Fusion,City Electrical Factors,5165576,"1,350.00"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Property,City Electrical Factors,5165594,536.38
DESNZ,UKAEA,19/12/2023,Travel,Support Services,Clarity Travel Limited,5165812,"4,577.54"
DESNZ,UKAEA,19/12/2023,Travel,Support Services,Clarity Travel Limited,5165812,"143,690.29"
DESNZ,UKAEA,11/12/2023,Professional Services,Support Services,Clyde & Co. Llp,5165310,540.50
DESNZ,UKAEA,11/12/2023,Communications,Support Services,Colyer Group Ltd,5165159,609.40
DESNZ,UKAEA,07/12/2023,Engineering Goods,Fusion,Comau S.p.A.,5164533,"55,478.02"
DESNZ,UKAEA,06/12/2023,Engineering Goods,Property,Combined Services (GB) Ltd,5164322,954.85
DESNZ,UKAEA,06/12/2023,Facilities,Property,Combined Services (GB) Ltd,5164338,"1,340.00"
DESNZ,UKAEA,19/12/2023,Travel,Other,Compass Contract Services (UK) Ltd,5165771,"1,065.33"
DESNZ,UKAEA,05/12/2023,Travel,Other,Compass Contract Services (UK) Ltd,5164278,"78,269.50"
DESNZ,UKAEA,05/12/2023,Travel,Property,Compass Contract Services (UK) Ltd,5163628,-766.67
