Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,17/05/2023,Engineering Goods,Fusion,Burckhardt Compression UK Ltd,5148691,"13,739.40"
DESNZ,UKAEA,17/05/2023,Engineering Goods,Fusion,Burckhardt Compression UK Ltd,5148692,"4,313.27"
DESNZ,UKAEA,23/05/2023,Personnel Related,Support Services,WR Group Limited,5148694,630
DESNZ,UKAEA,23/05/2023,Learning and Development,Other,QA ltd,5148696,"1,750.00"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5148699,"10,953.76"
DESNZ,UKAEA,23/05/2023,Personnel Related,Support Services,Vercida Limited,5148700,"12,500.00"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,CK Isotopes Limited,5148703,"1,560.00"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,Southern Scientific Ltd,5148706,"135,061.00"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5148707,"3,632.68"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5148708,"4,551.57"
DESNZ,UKAEA,23/05/2023,Facilities,Other,Mirion Technologies (Canberra UK) Limited,5148709,"6,000.00"
DESNZ,UKAEA,23/05/2023,Facilities,Fusion,Wiresmith Technology Ltd,5148710,"3,000.00"
DESNZ,UKAEA,23/05/2023,Office Solutions,Support Services,Kyocera Document Solutions (U.K) Ltd.,5148712,"12,477.35"
DESNZ,UKAEA,18/05/2023,Research,Other,"UT-Battelle, LLC dba Oak Ridge National Laboratory",5148716,"392,974.58"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5148718,"11,849.53"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148719,"3,971.78"
DESNZ,UKAEA,23/05/2023,Professional Services,Fusion,Atkins Ltd,5148720,"54,128.40"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Property,Amber Integrated Controls & Automation Ltd.,5148722,"28,160.66"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Property,Amber Integrated Controls & Automation Ltd.,5148722,"28,160.66"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Property,Amber Integrated Controls & Automation Ltd.,5148722,"28,160.68"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,IS-Rayfast Ltd,5148725,"5,115.93"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5148726,"2,859.20"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148729,"5,915.70"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Other,NSG Environmental Ltd,5148730,"17,699.48"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148731,"1,854.16"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5148733,"8,887.73"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5148734,641.76
DESNZ,UKAEA,23/05/2023,Professional Services,Property,Advanced Research Clusters Management Limited,5148736,"5,127.15"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148737,"10,815.00"
DESNZ,UKAEA,23/05/2023,Research,Fusion,Tokamak Energy,5148739,838.65
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,Edwards Limited,5148740,757.4
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5148742,"4,471.02"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148748,"4,056.20"
DESNZ,UKAEA,23/05/2023,ICT,Other,NiSoft (UK) Limit,5148749,"9,500.00"
DESNZ,UKAEA,18/05/2023,Logistics and Shipping,Fusion,RC Tritec,5148750,651.09
DESNZ,UKAEA,18/05/2023,Engineering Goods,Fusion,RC Tritec,5148750,"6,415.36"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148751,"4,864.92"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148753,"10,637.40"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5148757,"6,086.08"
DESNZ,UKAEA,23/05/2023,ICT,Other,Oracle Corporation UK Limited,5148758,995.96
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,Rittal Limited,5148760,679.45
DESNZ,UKAEA,23/05/2023,Engineering Goods,Other,Digi-Key Corporation,5148765,753.16
DESNZ,UKAEA,23/05/2023,Research,Fusion,Tokamak Energy,5148766,"1,397.75"
DESNZ,UKAEA,23/05/2023,Professional Services,Other,Atkins Ltd,5148768,"7,172.06"
DESNZ,UKAEA,23/05/2023,Research,Other,Environment Agency,5148772,"30,644.57"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,City Electrical Factors,5148773,"1,022.64"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Support Services,Rapid Racking Ltd,5148774,"1,909.40"
DESNZ,UKAEA,23/05/2023,Professional Services,Other,Environment Agency,5148776,"26,493.40"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148777,"5,225.48"
DESNZ,UKAEA,23/05/2023,Facilities,Property,Altrad Babcock Limited,5148778,846.24
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,John Caunt Scientific Limited,5148780,"19,963.94"
DESNZ,UKAEA,23/05/2023,Research,Fusion,University of York - GBP,5148781,942.88
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5148783,"6,611.63"
DESNZ,UKAEA,23/05/2023,Facilities,Other,Nuvia Limited,5148784,"1,457.50"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Other,Intamet,5148785,"1,226.38"
DESNZ,UKAEA,23/05/2023,Energy and Fuels,Property,EDF Energy,5148786,522.79
